month,aet_mm,pet_mm,ppt_mm
2000-01,3.43,86.88,3.49
2000-02,4.2,113.45,4.41
2000-03,22.5,151.03,24.0
2000-04,13.14,195.03,13.35
2000-05,9.99,258.81,10.39
2000-06,77.13,200.88,81.33
2000-07,24.44,237.02,25.64
2000-08,16.14,232.2,16.96
2000-09,5.71,203.54,5.99
2000-10,66.08,112.08,70.33
2000-11,40.19,58.06,44.02
2000-12,12.72,56.15,13.78
2001-01,13.35,37.68,23.54
2001-02,19.17,74.87,12.38
2001-03,23.42,102.35,23.35
2001-04,8.75,186.25,7.84
2001-05,15.69,224.91,15.9
2001-06,13.77,250.17,14.28
2001-07,15.93,249.72,16.64
2001-08,45.19,200.72,47.52
2001-09,22.41,173.14,23.49
2001-10,7.1,153.09,7.41
2001-11,36.8,82.08,39.11
2001-12,4.58,70.56,5.05
2002-01,8.32,78.98,9.34
2002-02,9.42,86.66,9.9
2002-03,15.07,147.24,15.3
2002-04,9.4,186.55,9.33
2002-05,8.19,245.59,8.52
2002-06,22.06,243.94,23.18
2002-07,54.31,212.01,57.13
2002-08,26.16,228.51,27.51
2002-09,32.17,175.1,33.83
2002-10,68.42,103.89,94.13
2002-11,17.25,79.52,10.74
2002-12,19.45,55.95,21.54
2003-01,4.55,76.76,1.47
2003-02,17.97,79.3,19.07
2003-03,10.26,133.92,10.42
2003-04,3.81,200.91,3.13
2003-05,15.71,233.71,15.95
2003-06,43.99,213.13,46.05
2003-07,25.85,238.12,27.03
2003-08,38.62,213.17,40.51
2003-09,30.53,168.82,32.02
2003-10,32.94,133.88,34.58
2003-11,12.68,98.21,13.36
2003-12,1.53,89.18,1.75
2004-01,10.55,67.52,11.2
2004-02,20.68,65.83,25.04
2004-03,33.3,117.3,32.09
2004-04,54.35,140.0,57.23
2004-05,8.5,232.96,8.44
2004-06,41.19,226.16,43.25
2004-07,77.94,219.97,81.98
2004-08,62.69,185.75,65.94
2004-09,104.79,150.51,113.72
2004-10,48.72,103.47,50.93
2004-11,57.46,62.69,74.6
2004-12,16.06,60.91,10.13
2005-01,14.8,64.91,13.96
2005-02,30.43,55.28,32.04
2005-03,16.71,118.87,17.03
2005-04,6.35,178.73,5.32
2005-05,38.36,188.72,39.38
2005-06,14.72,250.34,14.99
2005-07,41.69,241.21,43.56
2005-08,73.85,180.61,77.49
2005-09,18.76,180.9,19.54
2005-10,48.08,116.86,50.47
2005-11,0.69,111.37,0.58
2005-12,1.35,88.86,1.33
2006-01,1.63,103.02,1.7
2006-02,4.25,102.48,4.42
2006-03,10.28,146.9,10.92
2006-04,9.6,206.65,9.67
2006-05,9.41,249.75,9.82
2006-06,17.62,248.33,18.48
2006-07,36.28,231.5,38.13
2006-08,107.34,171.75,121.68
2006-09,67.8,151.22,68.46
2006-10,44.17,125.55,45.45
2006-11,3.81,107.28,3.45
2006-12,20.38,69.12,23.38
2007-01,16.4,38.98,21.69
2007-02,9.08,90.53,5.69
2007-03,35.52,129.54,35.42
2007-04,20.99,169.82,21.58
2007-05,64.1,163.37,67.1
2007-06,37.16,209.27,38.88
2007-07,40.27,201.83,42.26
2007-08,51.75,204.64,54.37
2007-09,47.79,164.45,50.22
2007-10,4.48,160.8,4.64
2007-11,11.44,97.42,11.97
2007-12,14.2,78.71,17.11
2008-01,2.58,76.07,3.38
2008-02,6.9,109.76,6.44
2008-03,10.46,158.05,10.43
2008-04,5.59,208.42,5.36
2008-05,16.87,250.18,17.19
2008-06,34.22,271.01,35.85
2008-07,80.77,199.14,86.7
2008-08,96.82,174.76,101.88
2008-09,50.38,141.75,52.93
2008-10,37.77,132.8,39.16
2008-11,2.77,100.19,2.7
2008-12,4.82,89.52,6.1
2009-01,1.29,93.52,0.94
2009-02,3.65,117.97,3.75
2009-03,9.28,154.68,9.66
2009-04,10.52,203.11,10.81
2009-05,24.67,213.67,25.6
2009-06,40.99,231.46,43.03
2009-07,53.38,229.77,56.13
2009-08,13.29,227.72,13.95
2009-09,44.02,157.21,46.31
2009-10,33.71,136.43,35.46
2009-11,5.43,96.01,5.69
2009-12,14.46,50.28,18.11
2010-01,17.57,62.23,20.01
2010-02,19.49,60.32,23.28
2010-03,17.35,133.99,14.65
2010-04,24.49,176.38,24.05
2010-05,24.39,230.49,24.89
2010-06,32.46,248.91,33.93
2010-07,110.34,190.07,116.15
2010-08,27.57,212.56,28.89
2010-09,37.54,173.75,39.44
2010-10,13.51,146.34,14.16
2010-11,1.11,111.63,1.13
2010-12,3.96,91.75,4.36
2011-01,1.09,80.14,1.18
2011-02,5.21,87.07,6.73
2011-03,2.0,168.64,0.77
2011-04,0.94,239.22,0.73
2011-05,2.57,268.81,2.64
2011-06,6.33,299.83,6.64
2011-07,11.84,263.39,12.44
2011-08,19.61,236.7,20.62
2011-09,24.85,187.81,26.14
2011-10,17.2,155.26,18.09
2011-11,3.27,108.61,3.48
2011-12,16.8,39.13,29.63
2012-01,18.2,88.74,9.37
2012-02,9.43,87.09,9.85
2012-03,6.77,160.78,6.25
2012-04,7.71,202.35,7.67
2012-05,38.64,228.75,40.46
2012-06,7.97,268.91,8.3
2012-07,38.23,229.99,40.17
2012-08,19.2,224.37,20.16
2012-09,58.81,177.14,62.15
2012-10,6.1,148.48,6.3
2012-11,2.8,103.65,2.88
2012-12,4.96,88.14,5.81
2013-01,14.85,59.38,15.95
2013-02,5.88,93.81,6.24
2013-03,1.81,158.14,1.24
2013-04,6.21,195.1,6.24
2013-05,10.4,241.86,10.74
2013-06,23.57,253.8,24.77
2013-07,67.67,211.67,71.23
2013-08,19.08,218.57,20.04
2013-09,64.61,167.6,69.36
