lat,lon,aet_mm_yr
35.9375,-105.6042,494.8
35.9375,-105.5625,496.8
35.9375,-105.5208,503.8
35.8958,-105.6875,494.3
35.8958,-105.6458,507.1
35.8958,-105.6042,487.4
35.8958,-105.5625,496.7
35.8958,-105.5208,507.8
35.8542,-105.7292,500.2
35.8542,-105.6875,466.7
35.8542,-105.6458,471.1
35.8542,-105.6042,466.4
35.8542,-105.5625,498.9
35.8125,-105.7292,493.0
35.8125,-105.6875,458.2
35.8125,-105.6458,432.9
35.8125,-105.6042,465.5
35.8125,-105.5625,502.1
35.7708,-105.7292,472.6
35.7708,-105.6875,430.6
35.7708,-105.6458,431.8
35.7708,-105.6042,490.1
35.7708,-105.5625,518.1
35.7708,-105.5208,499.9
35.7708,-105.4792,455.5
35.7292,-105.7708,469.1
35.7292,-105.7292,442.4
35.7292,-105.6875,410.9
35.7292,-105.6458,459.7
35.7292,-105.6042,486.5
35.7292,-105.5625,508.5
35.7292,-105.5208,469.1
35.7292,-105.4792,431.5
35.7292,-105.4375,420.2
35.7292,-105.3958,381.4
35.7292,-105.3542,354.2
35.7292,-105.3125,350.8
35.7292,-105.1875,317.6
35.6875,-105.7708,437.4
35.6875,-105.7292,409.6
35.6875,-105.6875,399.0
35.6875,-105.6458,448.2
35.6875,-105.6042,456.5
35.6875,-105.5625,469.0
35.6875,-105.5208,474.1
35.6875,-105.4792,428.0
35.6875,-105.4375,382.5
35.6875,-105.3958,354.7
35.6875,-105.3542,348.2
35.6875,-105.3125,364.9
35.6875,-105.2708,323.4
35.6875,-105.2292,309.3
35.6875,-105.1875,308.4
35.6875,-105.1458,310.1
35.6875,-105.1042,314.6
35.6458,-105.7708,427.1
35.6458,-105.7292,403.3
35.6458,-105.6875,379.0
35.6458,-105.6458,420.2
35.6458,-105.6042,411.8
35.6458,-105.5625,438.0
35.6458,-105.5208,466.4
35.6458,-105.4792,408.0
35.6458,-105.4375,350.2
35.6458,-105.3958,346.3
35.6458,-105.3542,346.4
35.6458,-105.3125,342.7
35.6458,-105.2708,314.7
35.6458,-105.2292,305.4
35.6458,-105.1875,307.8
35.6458,-105.1458,316.6
35.6458,-105.1042,320.2
35.6458,-105.0625,320.1
35.6042,-105.7708,379.3
35.6042,-105.7292,368.8
35.6042,-105.6875,353.8
35.6042,-105.6458,377.1
35.6042,-105.6042,385.0
35.6042,-105.5625,398.4
35.6042,-105.5208,434.3
35.6042,-105.4792,399.1
35.6042,-105.4375,337.8
35.6042,-105.3958,326.1
35.6042,-105.3542,332.3
35.6042,-105.3125,334.9
35.6042,-105.2708,313.8
35.6042,-105.2292,302.8
35.6042,-105.1875,307.1
35.6042,-105.1458,314.4
35.6042,-105.1042,314.8
35.6042,-105.0625,320.3
35.5625,-105.7292,353.0
35.5625,-105.6875,340.3
35.5625,-105.6458,351.7
35.5625,-105.6042,358.6
35.5625,-105.5625,365.4
35.5625,-105.5208,397.0
35.5625,-105.4792,398.3
35.5625,-105.4375,350.6
35.5625,-105.3958,314.6
35.5625,-105.3542,315.2
35.5625,-105.3125,315.0
35.5625,-105.2708,302.6
35.5625,-105.2292,297.8
35.5625,-105.1875,302.1
35.5625,-105.1458,306.9
35.5625,-105.1042,309.2
35.5625,-105.0625,316.3
35.5625,-105.0208,321.5
35.5208,-105.6875,339.7
35.5208,-105.6458,336.3
35.5208,-105.6042,351.1
35.5208,-105.5625,341.6
35.5208,-105.5208,366.1
35.5208,-105.4792,359.2
35.5208,-105.4375,359.5
35.5208,-105.3958,321.5
35.5208,-105.3542,306.0
35.5208,-105.3125,296.8
35.5208,-105.2708,295.1
35.5208,-105.2292,290.0
35.5208,-105.1875,295.1
35.5208,-105.1458,300.1
35.5208,-105.1042,308.1
35.5208,-105.0625,308.9
35.5208,-105.0208,317.2
35.4792,-105.6458,324.3
35.4792,-105.6042,317.9
35.4792,-105.5625,310.3
35.4792,-105.5208,314.6
35.4792,-105.4792,310.0
35.4792,-105.4375,329.1
35.4792,-105.3958,319.5
35.4792,-105.3542,301.4
35.4792,-105.3125,287.2
35.4792,-105.2708,287.0
35.4792,-105.2292,289.0
35.4792,-105.1875,292.5
35.4792,-105.1458,291.0
35.4792,-105.1042,297.9
35.4792,-105.0625,292.6
35.4792,-105.0208,295.0
35.4792,-104.9792,308.8
35.4375,-105.6042,315.1
35.4375,-105.5625,284.9
35.4375,-105.5208,275.1
35.4375,-105.4792,274.2
35.4375,-105.4375,287.4
35.4375,-105.3958,303.9
35.4375,-105.3542,290.7
35.4375,-105.3125,286.1
35.4375,-105.2708,276.1
35.4375,-105.2292,271.0
35.4375,-105.1875,290.1
35.4375,-105.1458,286.1
35.4375,-105.1042,277.5
35.4375,-105.0625,271.1
35.4375,-105.0208,274.3
35.4375,-104.9792,287.6
35.4375,-104.9375,281.7
35.3958,-105.6458,346.5
35.3958,-105.6042,350.2
35.3958,-105.5625,337.6
35.3958,-105.5208,305.2
35.3958,-105.4792,256.2
35.3958,-105.4375,256.2
35.3958,-105.3958,269.3
35.3958,-105.3542,275.6
35.3958,-105.3125,264.4
35.3958,-105.2708,256.0
35.3958,-105.2292,255.1
35.3958,-105.1875,288.4
35.3958,-105.1458,296.3
35.3958,-105.1042,278.7
35.3958,-105.0625,275.0
35.3958,-105.0208,279.1
35.3958,-104.9792,271.8
35.3958,-104.9375,272.3
35.3958,-104.8958,278.1
35.3958,-104.8542,279.8
35.3542,-105.6458,335.2
35.3542,-105.6042,338.2
35.3542,-105.5625,336.9
35.3542,-105.5208,294.2
35.3542,-105.4792,258.5
35.3542,-105.4375,241.7
35.3542,-105.3958,283.7
35.3542,-105.3542,282.1
35.3542,-105.3125,264.1
35.3542,-105.2708,246.8
35.3542,-105.2292,243.4
35.3542,-105.1875,254.0
35.3542,-105.1458,278.1
35.3542,-105.1042,282.5
35.3542,-105.0625,265.3
35.3542,-105.0208,271.2
35.3542,-104.9792,268.2
35.3542,-104.9375,267.0
35.3542,-104.8958,275.7
35.3542,-104.8542,278.3
35.3542,-104.8125,277.3
35.3125,-105.7292,324.8
35.3125,-105.6875,320.9
35.3125,-105.6458,324.5
35.3125,-105.6042,319.0
