dam_key,month,release_Mm3,storage_af
SantaRosa,2000-01,0.005,97151.3
SantaRosa,2000-02,0.0055,97834.1
SantaRosa,2000-03,0.0088,98249.7
SantaRosa,2000-04,18.1576,90573.7
SantaRosa,2000-05,42.6287,67436.5
SantaRosa,2000-06,0.0044,49601.3
SantaRosa,2000-07,27.9153,45980.0
SantaRosa,2000-08,35.9629,18828.7
SantaRosa,2000-09,0.001,3377.3
SantaRosa,2000-10,1.3962,4349.0
SantaRosa,2000-11,0.0099,10857.0
SantaRosa,2000-12,0.0036,12146.8
SantaRosa,2001-01,0.0038,13203.5
SantaRosa,2001-02,0.0009,14675.4
SantaRosa,2001-03,0.0049,18964.2
SantaRosa,2001-04,0.0014,27455.0
SantaRosa,2001-05,19.775,32870.3
SantaRosa,2001-06,0.0009,33503.3
SantaRosa,2001-07,37.5459,16200.6
SantaRosa,2001-08,0.0075,8128.4
SantaRosa,2001-09,0.0014,13277.3
SantaRosa,2001-10,0.0021,14137.4
SantaRosa,2001-11,0.0055,14897.3
SantaRosa,2001-12,0.001,15621.6
SantaRosa,2002-01,0.001,16348.7
SantaRosa,2002-02,0.0007,16936.4
SantaRosa,2002-03,15.5098,6480.0
SantaRosa,2002-04,0.0008,4281.7
SantaRosa,2002-05,1.4076,4554.5
SantaRosa,2002-06,0.6964,3531.3
SantaRosa,2002-07,0.002,4079.8
SantaRosa,2002-08,2.1286,6133.9
SantaRosa,2002-09,1.0714,10268.8
SantaRosa,2002-10,0.0015,12089.4
SantaRosa,2002-11,0.0015,12301.3
SantaRosa,2002-12,0.0011,12554.5
SantaRosa,2003-01,0.0009,12796.8
SantaRosa,2003-02,0.0046,12976.8
SantaRosa,2003-03,0.0008,13082.6
SantaRosa,2003-04,0.0008,13074.0
SantaRosa,2003-05,0.0006,15824.5
SantaRosa,2003-06,22.2443,15643.4
SantaRosa,2003-07,0.0005,3034.2
SantaRosa,2003-08,0.0,3024.6
SantaRosa,2003-09,1.1493,3846.8
SantaRosa,2003-10,0.0037,4591.9
SantaRosa,2003-11,0.0018,4896.3
SantaRosa,2003-12,0.0012,5011.2
SantaRosa,2004-01,0.001,5139.1
SantaRosa,2004-02,4.4218,2848.2
SantaRosa,2004-03,0.0008,2120.3
SantaRosa,2004-04,0.0012,23648.5
SantaRosa,2004-05,0.0079,41128.7
SantaRosa,2004-06,0.0008,45257.0
SantaRosa,2004-07,0.0021,47903.9
SantaRosa,2004-08,0.0014,54089.7
SantaRosa,2004-09,45.1419,43854.0
SantaRosa,2004-10,0.0112,27678.1
SantaRosa,2004-11,0.0,29755.7
SantaRosa,2004-12,0.0,30093.9
SantaRosa,2005-01,0.0,31211.6
SantaRosa,2005-02,0.0,34544.6
SantaRosa,2005-03,0.0,43143.9
SantaRosa,2005-04,0.0,62854.3
SantaRosa,2005-05,34.9395,90435.5
SantaRosa,2005-06,15.8374,95416.7
SantaRosa,2005-07,0.0,94808.7
SantaRosa,2005-08,4.4041,95506.5
SantaRosa,2005-09,4.2057,95276.0
SantaRosa,2005-10,3.6608,94761.9
SantaRosa,2005-11,3.2295,93823.0
SantaRosa,2005-12,10.2511,83741.3
SantaRosa,2006-01,0.0,83500.0
SantaRosa,2006-02,20.402,80882.1
SantaRosa,2006-03,1.008,65997.7
SantaRosa,2006-04,0.0,65379.0
SantaRosa,2006-05,0.7535,64527.4
SantaRosa,2006-06,48.2121,35726.0
SantaRosa,2006-07,0.0,28418.7
SantaRosa,2006-08,0.0001,44606.5
SantaRosa,2006-09,0.1291,76094.3
SantaRosa,2006-10,0.0,79878.7
SantaRosa,2006-11,0.0,79418.3
SantaRosa,2006-12,0.0,79010.3
SantaRosa,2007-01,0.0,79383.5
SantaRosa,2007-02,15.9663,77808.6
SantaRosa,2007-03,0.7046,66070.6
SantaRosa,2007-04,0.0,72515.7
SantaRosa,2007-05,0.0,82927.7
SantaRosa,2007-06,6.6425,93254.3
SantaRosa,2007-07,26.3858,71029.4
SantaRosa,2007-08,13.2826,70529.7
SantaRosa,2007-09,13.4951,51007.3
SantaRosa,2007-10,0.0,50188.7
SantaRosa,2007-11,0.0,49827.3
SantaRosa,2007-12,0.0,50261.6
SantaRosa,2008-01,0.0,50587.7
SantaRosa,2008-02,0.0045,50699.7
SantaRosa,2008-03,32.5125,31962.3
SantaRosa,2008-04,0.0,32097.7
SantaRosa,2008-05,0.0,43447.1
