id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
NM0023477,FORT SUMNER WASTEWATER PLANT DISCHARGE - NM0023477,NMED,34.44,-104.23,ST,15,1,0,2,0,974.0,974.0,974.0,1999-09-28,2013-10-08
NM0026395-M,Carlsbad WWTP effluent - NM0026395,NMED,32.41,-104.17,ST,9,1,0,1,0,1580.0,1580.0,1580.0,2004-11-17,2013-10-30
08382650,"Pecos River above Santa Rosa Lake, N Mex",NWIS_NM,35.05,-104.76,ST,225,53,124,111,6,128.7,1975.8,539.1,1976-02-27,2015-02-22
08383500,"Pecos River near Puerto de Luna, N Mex",NWIS_NM,34.73,-104.52,ST,889,342,399,321,0,192.0,2871.8,1990.2,1959-09-16,2014-09-29
08396500,"Pecos River near Artesia, N Mex",NWIS_NM,32.84,-104.32,ST,2198,1098,1157,1091,2,461.0,18000.0,5084.5,1959-10-01,2015-02-24
08412500,"Pecos River near Orla, Tex",NWIS_TX,31.87,-103.83,ST,360,171,345,347,2,1190.0,19700.0,9070.1,1969-10-01,2015-02-25
08405200,"Pecos River below Dark Canyon at Carlsbad , N Mex",NWIS_NM,32.4,-104.21,ST,443,11,227,104,2,1300.0,2811.3,2445.6,1969-12-23,2015-02-24
08406500,"Pecos River near Malaga, N Mex",NWIS_NM,32.2,-104.02,ST,1321,775,891,798,1,13.8,25700.0,4999.7,1959-08-03,2015-02-26
08407000,"Pecos River at Pierce Canyon Crossing, N Mex",NWIS_NM,32.18,-103.97,ST,1542,954,1061,1032,1,0.6,54000.0,10389.2,1959-10-01,2015-02-25
08384500,"Pecos River below Sumner Dam, N Mex",NWIS_NM,34.6,-104.38,ST,2311,174,1897,143,15,536.0,2770.0,1497.9,1907-03-23,2011-05-04
08387000,"Rio Ruidoso at Hollywood, N Mex",NWIS_NM,33.32,-105.62,ST,482,28,105,98,1,252.0,884.0,618.5,1960-02-18,2013-11-05
